FEN,Score
7k/3b4/8/p2B4/2P5/1P1P1PK1/1R3P2/3R2N1 w - - 1 94,+8
5R2/pr3p1p/3b2R1/8/5P2/5N1P/1Pk1PKPR/5B2 w - - 1 71,+1327
1rb2k2/pppBpq2/4p3/3P4/6P1/2P1PKP1/PP5r/RN4R1 w - - 1 46,-11
8/8/4R3/3P4/1P4k1/4K3/P7/8 b - - 0 109,-6
6B1/7K/4P3/8/8/3k4/8/8 w - - 13 214,+9
1R6/n4k2/7p/8/1p1p2P1/1P1P4/1P6/2B2N1K b - - 5 73,-1133
4Q3/2p5/p7/3P2k1/8/1P1n4/7q/5K2 b - - 4 117,+1
2r5/Rp6/7p/2Pppk1P/3P1P2/4P1P1/P2P3K/2BR1b2 w - - 1 64,+1203
rnb1kb1r/ppppqppp/5n2/4N3/3PP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,-92
r1b2br1/pp1pkppp/n1p2n2/q7/7P/8/PPPPPPP1/RNBQKB1R w KQ - 0 7,-316
8/8/4r3/1K6/8/8/k7/8 w - - 86 283,0
2q2kr1/1pb2ppp/4p3/3p4/8/1P1K1P1P/R1PP2PR/2BQ1B2 b - - 1 26,-627
B4b1k/p1n1p3/2rpp1p1/8/1p3p1P/3P1KP1/PPP1PB2/2RR4 b - - 7 54,-487
8/4B1k1/8/8/P7/1p4K1/3P4/8 b - - 1 135,+499
3b2B1/8/8/5P2/6K1/8/8/6kn w - - 8 199,-2
2N1n3/1p6/p7/1k3p2/7P/4P1P1/PPP1RP2/1R1K1b2 w - - 2 77,+1264
n7/8/3k4/7p/1p1p1RP1/1P1P4/1P1N3K/6B1 b - - 11 89,-1141
7K/8/8/pk6/8/8/8/8 w - - 17 183,-13
1rb2q2/p1b1p2p/2p3kn/P4r2/6P1/1RP3P1/1P1PPPB1/1NB1K1NR b - - 6 27,+661
4R3/6B1/2K5/3P2k1/p7/7b/8/7N b - - 13 165,-1139
1rBqkbr1/p1pppp1p/1p4pn/8/3PP3/5N2/PPP1QPPP/RNB1K2R b KQ - 0 7,-833
8/3BK3/8/8/3k4/5P2/2R2P2/7R b - - 5 159,-3
6K1/4r3/pp6/1P6/8/1R6/k3P1P1/4NBR1 w - - 15 115,+1314
8/8/1n3R2/4k2p/1p1p2P1/1P1P4/1P1N3K/6B1 w - - 16 92,+7
8/6k1/1R1p1bp1/3P4/4K3/r7/8/5b2 b - - 4 95,+5
1k6/8/2P4B/6K1/8/8/8/8 w - - 18 277,+1
K7/8/5P2/8/7k/6N1/8/8 b - - 66 229,-13
3k4/8/2R2P2/3P3p/1p2rP1P/8/8/K2R4 w - - 12 141,+16
8/3N2k1/8/8/p1P2p2/3NPPP1/1P6/1RBK4 w - - 3 61,+1327
8/8/2N5/5P1K/4R3/2k4P/5bPR/5B2 w - - 31 116,+7
3K3k/P7/8/8/8/8/8/3n4 b - - 2 223,-13
8/4p3/6k1/n7/3P2pP/6Q1/4P1K1/8 b - - 13 103,-1195
5k2/3b4/p7/4K3/1PP5/P1B5/8/8 w - - 9 180,+961
8/7K/8/1B6/8/2B2k2/8/8 w - - 65 380,+193
1B2K3/6k1/1P6/5P2/7P/4P2P/8/8 w - - 1 182,+6
2k4N/6p1/pP1p4/4p1PP/1r5n/1P1P2K1/6n1/1bB5 b - - 1 76,+966
5k2/3p4/4p3/P7/3B4/6K1/1PP2PPP/8 b - - 7 79,-1320
6k1/8/2K5/8/8/1p6/8/8 b - - 9 172,+11
8/7k/3N4/8/B3P3/7P/5P2/5K2 b - - 17 125,-1327
r2k1b1R/p2bpp2/1pn5/3p4/1P5P/2P1nP2/1R1PP1P1/QNB1KB2 w - - 4 36,+1327
8/P1P4k/8/8/1P2K3/8/8/8 b - - 16 156,-4
3k4/8/8/8/1B6/2N5/6K1/8 w - - 73 227,+78
4R3/8/6kB/8/1p4P1/1P1P4/1P5K/8 w - - 13 117,+14
5R2/4r2k/6b1/2p4p/P2PpPP1/8/1P1P3P/2BB1K1R w - - 5 75,+1314
rnbqkbnr/ppppppp1/7p/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,+63
R7/6k1/8/2p3P1/1P6/P3P2P/2P5/2R4K b - - 1 98,-1327
5k2/8/8/3B4/3p4/8/8/5K2 b - - 35 199,0
4K2k/8/8/3P1P2/2P5/1P6/8/8 b - - 1 211,-10
2bq1bnr/rppkpppp/p1n5/3p2N1/8/5BP1/PPPPPP1P/RNBQK2R w KQ - 4 6,+699
8/2R2K2/8/6k1/8/2P5/8/8 w - - 5 295,+11
8/7p/k7/2pr4/bR3r2/B1K5/P6P/8 b - - 22 87,+6
3b1k2/8/7K/8/4B1P1/8/8/8 w - - 10 222,0
8/p2k3p/7P/3P2n1/2pK1Pb1/2P5/PN5P/8 w - - 1 114,+1307
5rk1/1pp2p2/p5p1/4R3/4P3/P1PP3B/1q3P1P/1RBK4 w - - 0 57,+1246
1k6/p7/6p1/1B6/2P3b1/4P1P1/Pq1P1P1P/RN1K2R1 w - - 1 49,-103
7n/5k2/8/2R5/1p4P1/1P1PB3/1P5K/8 w - - 7 109,+1162
7R/8/8/1B4k1/8/1P6/1PP2PPP/5KR1 w - - 36 119,+8
3n4/2k5/3R3p/5p2/Pp3P2/2P4P/1P1KPP2/1N5b w - - 0 75,+1255
6N1/8/8/7k/2PK4/4PP2/5B2/1R4q1 w - - 0 88,+8
8/8/3k2R1/p7/2P3P1/5PP1/1K2P3/5B2 b - - 5 100,-11
7k/7p/8/1p2r2B/pP1Pb1P1/5P2/P1PP4/2K1R3 w - - 1 64,+1288
8/k7/2K5/3P4/8/8/8/8 b - - 18 240,-13
1k6/5K2/4P3/8/7p/7P/8/8 b - - 5 207,-13
5q2/3p4/8/3P1N1k/2P4P/1P2P3/P6n/3K3R b - - 13 77,+780
r1b1q1kr/1pppb2p/n5Nn/p6P/7R/4P3/PPPP1PP1/RNB1K3 w Q - 3 16,-924
1rb2b2/1pknn3/3pp2r/q1p5/3P2P1/2P4N/PP1KPP1P/RN3B1R w - - 1 36,-1107
1k6/5K2/8/8/3R4/2p5/2P5/8 b - - 36 192,-9
1n6/2pp2p1/p3kpN1/6br/1P2PPP1/7P/P1PPN1BK/3R3R w - - 5 49,+1327
4k3/B2b4/6p1/2N1Pp2/1P1P1P2/8/r5PP/4K3 b - - 2 92,+273
6n1/2K4p/3Pk2P/8/5P2/2P4b/P7/8 w - - 11 147,+1179
b6r/2nq1p1k/p3p2p/1PpBPPr1/P1P5/3P2P1/7R/R1B1K3 b - - 6 58,+781
1n6/N7/4ppP1/1kp1R3/p4P1n/1P6/2P1KN2/2B5 b - - 1 94,-1198
5K2/1R6/8/8/8/2P5/7k/8 b - - 26 305,-1307
8/3B4/5K2/1P6/8/6k1/8/8 b - - 24 208,-9
8/K7/1P3k2/8/8/8/8/8 w - - 7 227,+12
r1bq1br1/p1pppk1p/np6/6p1/1P3n2/5N2/P1PPQPPP/RNB1K1R1 w Q - 0 11,-479
8/1K6/7k/4N3/5P2/2P5/8/8 b - - 64 263,-1327
1r2kbr1/pp2pppp/2np1n2/q7/3P4/1b1K3P/PPPQPPPR/R1B1NB2 b - - 13 13,+12
8/3R4/1N6/8/8/1p3k1K/1P6/8 w - - 53 109,+1294
8/4pp1p/1R3k2/p5N1/n5PP/5q2/2PPP3/1N1QK3 b - - 0 69,-1283
8/4r2k/7P/5P2/4K3/8/8/8 w - - 1 172,-450
7K/5k2/8/3R4/8/8/7R/8 w - - 38 252,+3
6K1/8/3R4/P7/7k/8/8/8 b - - 42 229,-9
4K3/8/1P6/5P2/7k/4P2P/7B/8 w - - 0 187,+8
8/2k5/P4P2/8/8/5K2/8/8 w - - 3 177,+7
8/7k/2KP4/8/8/5B2/8/8 b - - 87 224,-8
8/8/8/3K4/k7/8/8/6Q1 b - - 40 247,-5
4R3/6k1/3K4/P7/1p6/N1P1n2P/1Pb2P2/8 b - - 12 110,-931
1B5k/p7/8/K7/8/PPP2b2/1R6/7B b - - 1 123,-1327
8/8/4K1k1/1PP5/7P/8/8/8 w - - 0 160,+9
7k/2pn4/8/6P1/1P6/P3p2P/2PP2R1/1R5K b - - 3 89,-1259
4k3/8/4PK2/8/P7/8/8/8 b - - 0 156,-8
rnq1k1nr/p2p2pp/1pp1pp2/8/4PN2/bP6/2PPbPPP/R1B1KBNR w KQkq - 0 10,-924
8/3P1R2/5K2/8/4P2k/8/8/8 w - - 15 225,+3
4k2b/8/2p3b1/B2P4/nPP5/7P/3K4/8 b - - 4 99,+701
r2qkbnr/pbppppp1/Bpn4p/8/3N4/4P3/PPPP1PPP/RNBQK2R w KQkq - 4 5,+629
8/6r1/6k1/5pP1/5P2/7P/8/2K5 w - - 2 143,-1316
k1n3N1/5p2/3p4/r2p4/1P4P1/P1K2n1P/2P1PP2/R4BR1 w - - 18 54,+1307
8/6k1/2P5/6PB/1K6/P1n4P/2P2P2/3R4 b - - 6 87,-8
8/rpp4q/1k4K1/p7/4nP2/2P5/RP1P3P/2B2R2 w - - 9 60,+1031
K5R1/5k2/6p1/3p1P1p/3BP2P/N7/1r6/8 w - - 0 111,+7
8/8/8/pP3k2/P2B4/6P1/K6R/R7 w - - 49 145,+6
8/1ppbr3/1P1p2pk/3P4/5b2/1K6/8/8 w - - 11 73,-1327
8/5K1k/r7/8/8/8/8/8 w - - 16 265,-10
8/8/4k1B1/6P1/2P1P3/p4PP1/8/3K4 w - - 11 123,+1327
R5k1/8/3q1P1K/1P6/b2P3p/2P4P/4P3/8 b - - 6 107,+180
3n3B/4kp2/4pr2/p1p1b3/P5P1/1P1P4/6KP/R6R w - - 13 86,+720
6K1/2k5/2N5/3P4/8/8/8/8 b - - 20 203,-1110
1n4k1/p1p1pN2/5b2/8/3r2r1/1P4P1/P1bBP1KP/2RN2R1 w - - 0 64,+846
k4r2/4p3/4P3/6R1/1p5P/1P6/Kb6/8 b - - 19 166,+687
3K4/2r5/8/8/8/1k6/8/8 w - - 18 249,0
rnbqkb1r/pp1p1p1p/2pp3n/6p1/8/3P4/PPP1PPPP/R1BQKBNR w KQkq - 0 5,-319
8/K7/1P6/4R3/P4k2/1P6/8/8 w - - 9 160,+7
rnbqkbnr/pppppp1p/8/6p1/P7/7N/1PPPPPPP/RNBQKB1R b KQkq - 1 2,+50
5N2/8/2k5/1b6/P5P1/2P5/4P1K1/B7 w - - 15 72,+20
8/7k/7P/5p2/5P2/6K1/8/5r2 w - - 3 160,-10
1k6/8/5R2/p3p3/P5P1/1PKP4/8/8 w - - 1 118,+7
8/8/2k2N2/2b3P1/8/P1P5/B2P4/RK6 b - - 10 130,-1320
7k/2N5/8/p2NPn2/P7/1K6/8/8 b - - 24 213,-1135
8/3k4/8/6P1/2PP4/8/3K4/1R3B2 b - - 8 167,-7
8/3k4/1P2b3/p1K3B1/8/P7/8/8 b - - 61 244,-1
1rb1k3/pp1ppp2/2p2n1p/1B4r1/3b4/1P2PP2/P1PP2PP/RNB1K2R w KQ - 1 26,+183
8/7k/8/2P3P1/1P5P/8/4K3/8 b - - 1 144,-8
8/8/N2k3K/1P6/8/8/8/5b2 w - - 22 149,0
r1bqkb1r/ppp1pppp/3p1n2/2n5/5P2/P1P4P/1P1PP1P1/RNBQKBNR w KQkq - 1 5,-105
2kn4/p1r2p2/2p1p1p1/4B3/P7/1Pb5/3P2PP/R4K1R b - - 1 61,+403
8/pk1n4/8/r3p3/7b/1P2BR1P/P2RP2K/3N4 w - - 16 106,+1189
8/7r/7p/2B4k/1P6/4P3/P1PP1P1P/R2NKR2 b - - 1 77,-1327
3Q4/2k3K1/8/8/8/4p3/8/8 b - - 1 170,+11
4BB2/6K1/8/8/5k2/8/8/8 b - - 6 350,-264
8/8/8/3k3P/1p6/p2p4/P6K/7R b - - 1 116,-1080
1R6/8/3k4/6P1/2PP4/8/4K3/5B2 b - - 12 169,-9
r7/pppk2p1/6q1/4Q3/1b1P2Pp/NP2P3/P1P2P2/R2K1R2 w - - 6 46,+1079
r5k1/pr1p4/1p4pp/5Pn1/1K2P1Pq/7P/PPPP1R2/R1B5 w - - 33 54,-770
rnb4r/p2k1p1p/2pQpb2/8/6Pn/1P1P1q2/P1P1PP1P/R3KBR1 b Q - 2 19,+1229
4r3/ppk1p3/2p2n2/3pP3/1P6/3P1P2/P2RNKbP/5B1R w - - 15 68,+1131
2k5/7R/qp5p/1P3P2/b2P4/2P1K2P/4P3/8 b - - 2 87,+744
3r4/pb2b2p/3pp1Pk/1pn5/P5K1/1P1P1P2/2P2PB1/R1NR4 w - - 3 45,+524
6K1/8/8/8/P3k3/8/8/3Q4 b - - 42 226,-7
8/3NK2k/4P3/p4rP1/P7/4P3/8/3n4 b - - 0 149,+38
2q5/p1k1K3/8/1P3B2/P5r1/4P3/3R4/5r2 b - - 15 152,+3
2N1K3/1k6/8/3P4/8/8/8/8 b - - 28 207,-12
r1b1k2r/p2n1p1p/2p1p3/8/3b2Pn/PP3q1B/2P1PP1P/2RK3R b - - 2 28,+1327
8/8/1k6/5B2/Kp6/8/8/8 b - - 17 171,0
8/p2p1k1p/Bn6/5r2/P1P2PrP/4P2R/1P6/1RB2K2 b - - 0 48,-804
3r4/p1kpp3/7r/P2P4/1b2K3/3n4/1PP2PPP/2B1R3 w - - 6 49,-379
6k1/1bppp3/p5p1/n3P2p/8/2P5/PBN2bPP/R2K3R b - - 14 41,-446
4b3/p3R3/6p1/P2pp3/8/2Pk2PK/8/8 b - - 21 98,-79
5Q2/7K/k7/8/8/8/8/8 b - - 5 162,-9
8/8/6k1/3N4/3P4/5K2/8/8 b - - 1 168,-1068
8/5B2/1p1B3k/1P6/P2P3P/5K1P/4PP2/3R4 b - - 6 107,-5
2n1k3/2b5/8/2P5/8/3K3P/8/8 w - - 1 117,-222
8/7K/8/8/3Q4/7p/3B3k/8 w - - 0 176,+3
7Q/6K1/5r2/8/8/8/3k4/8 w - - 4 196,+9
1k4K1/8/1p6/1P6/8/8/8/8 w - - 53 207,+1033
1R6/4K3/k7/8/P4P2/P3P1B1/8/8 w - - 25 102,+4
6k1/Qpp2ppr/p5n1/7p/4q3/1bP5/PP1PPPPP/R1B1KB1R b K - 0 20,-1076
8/6k1/8/8/5K2/2P5/8/5R2 w - - 73 329,+4
8/1K6/4kN2/6P1/2P2P2/8/8/8 w - - 27 170,+14
8/1k6/4P3/7K/3B4/8/8/8 b - - 9 331,-11
1nr5/2p3p1/5k2/5p2/1P1NPPP1/PR4bP/2PP3K/2R2B2 w - - 6 68,+1307
4rkr1/pppp1ppp/1q2p2n/n7/5PPP/7K/PPQPP1B1/R1B3N1 b - - 1 27,+509
6r1/3b1pk1/p6p/1Pp1P1r1/P6R/3P2P1/8/1RBK3B w - - 13 81,+957
8/2q5/8/8/8/K4k2/8/6r1 b - - 51 249,+3
2k1B3/p2N4/2p1q3/8/3P3P/8/1r1QbP2/R1K2R2 b - - 7 61,+47
8/3k4/1P2R3/8/PB4P1/1K6/8/8 w - - 13 189,+5
4k3/p6p/3K3P/3P4/2p2Pb1/2P2n2/P4N1P/8 b - - 8 117,+93
7k/1K6/8/4P3/8/8/8/8 b - - 17 202,-13
8/5P2/5B2/2r4k/1K6/8/8/8 w - - 7 192,+8
8/8/3p3k/p1B2P2/P2N4/3P3P/1PP5/3RK1r1 w - - 9 93,+1257
1q6/5k2/R7/1P3P2/b2P3p/2P4P/4PK2/8 w - - 3 100,-609
5K2/8/4B3/8/5k2/5P2/2R2P2/7R w - - 14 164,+4
3K4/8/1P6/3k4/P7/1P6/8/8 b - - 3 162,-14
5k2/2B5/p2p3n/3P3P/8/4K3/8/1r1bn3 b - - 0 113,+1214
3r3Q/3P4/6k1/5pP1/5P2/3K3P/8/8 w - - 3 139,+4
7q/5k2/8/7P/1pP5/8/3K4/8 b - - 1 157,+7
8/6Q1/3k4/7K/8/8/8/8 b - - 14 198,-9
8/8/2k5/2P4K/3P4/4R3/8/8 b - - 0 294,-15
2k3N1/prn1p2p/1pppR3/5b2/8/2P2r2/1P1PPPPP/2B1KBR1 w - - 3 23,+1160
r1bqkb1r/pp1ppppp/n1p4n/6N1/8/4P3/PPPP1PPP/RNBQKBR1 b Qkq - 1 4,+85
6R1/1k2pr2/4P2P/8/1p6/1P6/1K6/8 b - - 0 172,-1
6K1/1k1B4/8/8/8/8/3R4/8 w - - 94 253,0
8/2r5/8/4K3/8/p6k/8/8 w - - 16 163,-8
7k/8/3R4/4p3/p2P3b/1P6/P3P3/5K2 b - - 1 122,-1155
7Q/8/3k4/5K2/8/8/8/8 b - - 90 236,0
3R4/1rnk3p/pppp4/3N4/8/2P3r1/1P1PPPPP/2B1KBR1 b - - 3 31,-1125
8/8/1p5k/8/8/2PrP3/P2PKP1P/2R5 b - - 1 86,-1248
2k5/6K1/8/2P1P3/8/8/5B2/8 w - - 15 294,+9
5r2/p7/PP1k4/3P4/8/7K/8/8 b - - 0 131,+1320
8/4k3/5R1P/8/8/ppn3K1/P7/8 w - - 12 131,+1024
8/1k6/8/p2P3R/PP4P1/1K6/8/8 b - - 4 134,-9
1r2k1n1/pp2pppr/2ppn3/q1P2b2/7P/Q5P1/PP1PPP2/RNB1KB1R w Q - 5 18,+1090
rn4kb/p1p1pprp/5np1/1K1b4/3P4/3B2Pq/PPP1PP1P/RNBQ2NR w - - 15 23,+844
r1b4r/ppppkppp/3bp2n/8/2Nn1q2/1P6/P1PPPPPP/RNBQKB1R w KQ - 16 13,+542
7k/1K6/P7/8/2P1P1P1/3P4/7P/8 b - - 0 176,-10
2bq3k/rp1p1p2/p1Qbp1pr/7p/2P5/P2PP3/NPnN1KPP/1RB2B1R w - - 7 20,+990
8/k7/8/2BK3P/p1PP4/P7/R1P1N3/8 b - - 16 114,-5
8/4q3/1p5k/2PRp1pp/4P3/P2PNK2/1P4P1/1R2NB2 w - - 6 63,+1327
8/6K1/1P1k4/8/6BR/8/8/8 b - - 28 190,-7
N7/2r3k1/8/7N/P7/2PP4/4P3/5K2 b - - 4 125,-22
8/4k3/1P6/B7/P5P1/K7/2R5/8 b - - 0 182,-6
k5N1/5p2/1n1p4/r2p4/1P4P1/P1K2n1P/2P1PP2/4RBR1 w - - 16 53,+1201
8/4K3/3B1P2/3k2pp/7P/4p3/6r1/8 w - - 1 135,-799
1r5b/p1p1p2r/3pqk1N/3B4/6b1/1PP1P1P1/n1QP3P/RNB2K1R b - - 2 23,-205
rnb1kr2/pp1p1pbp/3p4/q1p3pN/1PP5/B2Pn3/P3PPPP/R2QKB1R w KQq - 5 11,+784
1rb1q3/pppppk2/4p2r/3P4/5KP1/2P1P1P1/PP6/RN3BR1 w - - 11 43,-790
2B3k1/5b2/8/8/2P2K2/pP1P1P2/1R3P2/5RN1 w - - 16 113,+1327
8/7k/1K6/4p2p/4P2P/8/8/8 b - - 17 175,-1107
5R2/4K3/6k1/8/3b4/8/8/8 w - - 40 167,+3
5B2/2p5/p4pk1/1p1pP3/1r4bP/P2P2P1/1PP1P1K1/1RR5 w - - 10 67,+1181
8/1Bk5/4P3/7K/8/B7/8/8 b - - 8 326,-7
Q7/8/8/1K6/8/8/5k2/8 b - - 14 251,-8
7K/k5P1/6R1/3P4/4PP2/p1P5/8/8 w - - 6 138,+3
r1bqkbnr/pppppp1p/2n5/6p1/2N5/5P1P/PPPPP1P1/R1BQKBNR w KQkq - 2 5,+1
5q2/r1pppr1k/p7/4N2p/2Pb2n1/P5P1/1P1PPP1P/R1BKNB1R b - - 12 43,+587
2b2br1/p1pkpppp/2p5/5P1n/P2pK1n1/1BP4P/1PNP2PN/R1B3R1 w - - 3 23,+757
8/p5N1/4n1k1/1R6/3P2P1/P4K1b/8/RN6 b - - 0 100,-864
8/4k3/7R/7P/1pP4q/8/8/3K4 b - - 7 154,+1248
8/k2K4/8/8/1p6/1P5R/1P6/8 w - - 81 250,+3
1rbq1k2/p1np1p2/1p1p1b2/1P1p3p/3P3n/2P5/P1R1PPPP/2B1KBR1 w - - 0 33,-896
r1bqkb1r/2pppppp/1pn2n2/p4B2/5P2/2N1PN2/PPPP2PP/R1BQK2R b KQkq - 3 6,+23
2b4k/1p1p1pb1/2r5/1R6/p1B3P1/2P1P3/P2P1P1P/R1B2K2 w - - 4 58,+1177
3B4/1k6/1P6/1P6/5P1P/7P/4P3/1K6 w - - 1 152,+9
7R/1r5b/7k/2p4p/P2PpPP1/4K2R/1P1P3P/2BB4 w - - 23 84,+9
1rk3r1/pp2ppbp/n1pp3N/2R3p1/8/2P4b/1P1PPPPP/2BQKBR1 w - - 2 14,+1242
3k4/8/1K6/8/N7/1P6/8/8 b - - 42 226,-1146
N5r1/pp6/B6r/n3k3/8/P3PPPb/4K2R/RN6 w - - 1 72,+606
6kr/p1pp1pP1/5q2/1p4P1/6P1/3P4/2P1K1R1/8 b - - 8 82,+1314
7k/2P5/8/3n4/3P4/8/1q6/4K3 b - - 8 176,+5
1rb2b2/pp1pp2k/2p3pq/PRR2p2/8/2P3P1/5P2/6K1 b - - 8 59,+1327
3R2q1/1p1kbp2/7p/3p2pP/3R4/1P6/2PP1KP1/5B2 b - - 21 66,+498
2R5/8/1k6/3P4/P5P1/1K6/8/8 b - - 0 148,-7
8/6K1/6R1/P7/8/8/7k/8 b - - 88 252,-4
r1b2bnr/pppkp1pp/2np4/5p1q/3P4/1N6/PPP1PPPP/R1BQKB1R w KQ - 0 9,-460
8/8/8/6k1/1p6/1P4K1/8/8 w - - 12 209,0
5k2/8/8/4N3/1KP5/2B1PP2/8/1R6 b - - 24 105,-8
1k6/4K3/6R1/8/P4P1B/P3P3/8/8 b - - 42 110,-5
1rb1k3/1p6/3pN3/b1p2n1r/3P2n1/q1P2KR1/PP2PP1P/RN3B2 w - - 1 51,-546
3NK3/8/6B1/8/2k5/p4P2/R4P2/4R3 w - - 0 143,+4
rnbq1b1r/1ppkpppp/4N2n/p7/2p5/8/PPPPPPPP/R1BQKB1R w KQ - 0 6,+624
k1n5/5p2/3p1N2/r2p4/1P4P1/P1K2n1P/2P1PP2/R4BR1 b - - 19 54,-1230
1k6/6R1/8/Np6/4P2P/6P1/PPP5/4K3 w - - 25 141,+4
5k2/1P6/8/3K3R/P5P1/8/3B4/8 w - - 83 236,+3
4q3/rppn1p2/3k4/p7/6N1/8/RPPP1P1P/2B3KR b - - 4 42,+419
5b1r/3rp1pp/3pn1k1/8/1R1PP2P/4nP2/PP6/RN1K2B1 w - - 6 44,+451
7R/8/8/3kP3/pp1P4/PP6/7P/6K1 b - - 1 92,-1147
7K/8/5r2/6Q1/3k4/8/8/8 w - - 28 208,+12
8/R5p1/1p4B1/1Pr5/Pk6/8/3P1b2/1K6 w - - 1 105,0
6R1/4k2K/8/8/8/8/8/2r5 w - - 2 144,0
3k4/pb3p2/2Rp4/1p4P1/4P3/1n6/3P1P2/2BKR2N w - - 0 55,+1138
8/K7/4r3/5k2/8/8/8/3R4 b - - 35 239,0
2kn4/2N5/5pP1/B7/P1p2P2/2n1N3/8/5K2 w - - 2 119,+1287
8/7k/8/7K/6P1/8/5b2/8 w - - 2 250,0
3bR3/1K6/7k/8/8/8/8/8 w - - 64 179,+16
4b1k1/8/p2K4/2B5/1PP5/P7/8/8 b - - 16 183,-835
rnbqkb1r/p1pppppp/1p5n/6N1/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 1 3,-51
8/P7/3K4/3P4/4P3/8/8/k7 w - - 1 178,+8
8/4K1k1/2b1P3/7p/P5P1/8/8/8 b - - 0 107,+1071
8/8/k7/7p/8/6K1/8/3r4 w - - 0 167,-975
2B5/8/8/1p5P/p2p4/3k4/P6K/2R5 b - - 1 107,-1253
8/3Q4/k6K/8/8/6B1/8/8 b - - 48 208,-4
1n3k2/2b5/8/2P4P/8/2K5/8/8 b - - 0 129,+216
4r3/1b1pBpkp/1p1qR3/pP1P1P2/P7/7P/2P1P3/4K3 b - - 0 63,+1043
3q3k/1p4p1/3r3b/3p1B2/P1P5/1K4P1/1PR2P1P/6R1 w - - 5 74,-364
rnbq1b1r/pppkpppp/7n/3p2N1/8/N7/PPPPPPPP/R1BQKB1R w KQ - 4 4,+81
8/3N2n1/1Bk5/2p5/4pK2/3P2P1/PPP1B3/3R4 w - - 0 91,+8
8/3R4/2K2k2/8/8/4r3/8/8 b - - 19 231,0
3r4/8/8/5k1P/1pP2Pp1/3R4/R7/3K4 b - - 8 126,+20
7B/5k2/5P2/K7/8/8/2r5/8 b - - 16 186,+2
r1bqkbr1/ppp1pp2/3p2pp/8/4n3/1PP1P1PN/n1QPKP1P/RNB2B1R w q - 2 10,+435
3k4/8/4B3/4K3/2P5/pP1P1P2/R4P2/5RN1 b - - 4 121,-5
rnbqkbnr/pppppp1p/8/6p1/8/P6P/1PPPPPP1/RNBQKBNR b KQkq - 0 2,-58
2k4N/8/8/2b5/6P1/2P5/P2PB3/RK6 w - - 29 116,+1320
B7/p1p3p1/1p4r1/1P6/Pk6/2nK4/3P1b2/6R1 w - - 10 75,+557
2k5/3pp3/8/P3B2K/1b6/8/1PP2PPP/4R3 b - - 6 69,-1222
R7/8/1k6/1p6/4P2P/6P1/PPP5/4K3 w - - 2 145,+1327
8/p7/P7/3p3P/b4K2/2P5/8/3k4 w - - 1 110,0
8/8/6k1/2p3P1/PP6/4P2P/2P5/5R1K w - - 9 108,+7
N7/pp6/2b3B1/n3k3/8/2r1PrP1/P2K1PR1/RN6 b - - 18 56,-351
8/1K6/3P2k1/8/p7/8/8/8 b - - 0 187,0
1B6/8/6k1/1b6/2r5/P1P3P1/4K3/8 b - - 7 118,+804
1rbqkb1r/ppppp1nR/4n3/5pN1/N6P/8/PPPPPPP1/1RBQKB2 w - - 1 16,+1061
8/8/4p3/6R1/1p5k/1P6/8/2K5 w - - 2 198,+13
r5r1/pbppqk1p/np5b/5Np1/1P3n2/8/P1PP1PPP/RNBK2R1 w - - 2 15,-989
rnbqkb1r/pppppppp/5n2/8/2B5/4P3/PPPP1PPP/RNBQK1NR b KQkq - 2 2,+57
8/5PK1/8/8/4B3/8/8/4k3 b - - 64 243,-7
5B2/2pn1p1p/5qrk/8/1P1N4/8/P1PPPPPP/R2QKB1R b KQ - 6 34,-1320
r3k2r/1pp1qppp/2nb1n2/1p6/4pPb1/8/PPPP1PPP/R1BQKR2 w Qkq - 1 12,-1327
r2q1b1r/ppp1pppp/n1k2n2/3p4/3P2b1/5NP1/PPP1PP1P/RNBQKB1R w KQ - 7 9,+677
5r2/8/B2k4/8/4P2P/bb4K1/PP3P2/8 b - - 6 84,+509
rnbqkb1r/pppp1ppp/7n/4p3/7N/8/PPPPPPPP/RNBQKB1R w KQkq - 2 3,-35
3q1bnr/rppbpppp/p1nk4/3p3B/5N2/6P1/PPPPPP1P/RNBQK2R b KQ - 9 8,-8
2bk1b1r/5p1p/1p1p4/7r/B7/3PKP2/5P1P/3R2NR w - - 0 43,-203
1q1r4/k7/1p5p/1P4N1/bQ1P2R1/5P1P/2P1PK2/8 w - - 1 72,+10
4k3/5n1K/8/8/1P6/p7/8/8 b - - 14 208,+9
1N6/6k1/8/8/7R/1p2K3/1P6/8 w - - 19 92,+1283
4n3/K7/8/8/Q7/8/5k2/8 b - - 22 236,-14
rnb1kb2/pp1ppppr/8/5n1p/qP1R3P/P1P2P2/R2PP1P1/1NBQKB2 w - - 7 19,+805
2b3k1/p2pb3/3Rp1p1/P4p2/8/2P3P1/5PK1/1R1q4 b - - 8 66,+1320
5K2/8/8/7k/8/5n2/3b4/8 b - - 4 141,+154
rn1qkbnr/ppp2ppp/8/3pp2b/5P2/7P/PPPPP2R/RNBQKBN1 w Qkq - 0 5,-444
6kB/3p4/p7/nP2q1r1/P5P1/2P5/3PP3/3RKB1N w - - 1 72,+1174
8/1k5K/8/P4P2/7p/1P5P/8/8 w - - 15 176,+10
